time;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;
j1ChargesSalaire;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;38570.0;
qtPeche_Sole;0.0;0.0;0.0;179.45;179.45;179.45;179.45;179.45;179.45;352.62;352.62;352.62;352.62;520.77;520.77;520.77;520.77;520.77;520.77;520.77;520.77;520.77;520.77;520.77;520.77;520.77;520.77;570.97;570.97;570.97;570.97;570.97;570.97;570.97;570.97;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;619.91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.21;55.21;55.21;55.21;55.21;55.21;55.21;110.42;110.42;110.42;110.42;110.42;110.42;110.42;110.42;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;287.36;500.69;500.69;500.69;500.69;500.69;500.69;500.69;500.69;500.69;500.69;500.69;500.69;500.69;500.69;500.69;500.69;500.69;500.69;500.69;500.69;500.69;500.69;563.43;563.43;563.43;563.43;563.43;563.43;563.43;563.43;563.43;563.43;563.43;563.43;563.43;563.43;563.43;563.43;563.43;563.43;563.43;563.43;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;724.05;
j1Produit;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;85710.0;
j3ChargesTaxe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
j2Benefice;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1072.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;16860.0;
qtRefPeche_Seiche;0.0;0.0;0.0;0.35;0.35;0.35;0.35;0.35;0.35;0.7;0.7;0.7;0.7;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;1.2;1.2;1.2;1.2;1.2;1.2;2.38;2.38;2.38;2.38;2.38;2.38;2.38;2.38;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.58;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;5.26;5.26;5.26;5.26;5.26;5.26;5.26;5.26;5.26;5.26;5.26;5.26;5.26;5.26;5.26;5.26;5.26;5.26;5.26;5.26;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;5.45;
j1ChargesAutres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;17142.0;
j2ChargesAutres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;14346.0;
qtRefStock_Merlu;0.0;68.54;68.54;67.31;67.31;67.31;67.31;67.31;67.31;66.1;66.1;66.1;66.1;64.92;64.92;64.92;64.92;64.92;64.92;64.92;64.92;64.92;64.92;64.92;64.92;64.92;64.92;61.6;61.6;61.6;61.6;61.6;61.6;61.6;61.6;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;58.45;56.95;56.95;56.95;56.95;56.95;56.95;56.95;55.49;55.49;55.49;55.49;55.49;55.49;55.49;55.49;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.99;54.5;54.5;54.5;54.5;54.5;54.5;54.5;54.5;54.5;54.5;54.5;54.5;54.5;54.5;54.5;54.5;54.5;54.5;54.5;54.5;54.5;54.5;51.71;51.71;51.71;51.71;51.71;51.71;51.71;51.71;51.71;51.71;51.71;51.71;51.71;51.71;51.71;51.71;51.71;51.71;51.71;51.71;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;51.25;61.51;
qtRefPeche_Merlu;0.0;0.0;0.0;1.23;1.23;1.23;1.23;1.23;1.23;2.44;2.44;2.44;2.44;3.62;3.62;3.62;3.62;3.62;3.62;3.62;3.62;3.62;3.62;3.62;3.62;3.62;3.62;6.94;6.94;6.94;6.94;6.94;6.94;6.94;6.94;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;1.5;1.5;1.5;1.5;1.5;1.5;2.96;2.96;2.96;2.96;2.96;2.96;2.96;2.96;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.46;3.95;3.95;3.95;3.95;3.95;3.95;3.95;3.95;3.95;3.95;3.95;3.95;3.95;3.95;3.95;3.95;3.95;3.95;3.95;3.95;3.95;3.95;6.74;6.74;6.74;6.74;6.74;6.74;6.74;6.74;6.74;6.74;6.74;6.74;6.74;6.74;6.74;6.74;6.74;6.74;6.74;6.74;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;
