joueurId(Number);tour(Number);caseId(String);natureFond(String);bathymetrie(String);estEnregistre(Boolean);estMemorise(Boolean);type(Symbol)
1;1;L48;sable;cote;false;false;Plaisancier
1;1;K48;sable;cote;false;false;Plaisancier
1;1;O48;sable;cote;false;false;Plaisancier
1;1;N49;sable;cote;false;false;Plaisancier
1;1;M44;vase;plateau;false;false;FouDeBassan
1;1;N44;vase;plateau;false;false;NavireCommerce
1;1;P47;sable;cote;false;false;Plaisancier
1;1;R46;vase;cote;false;false;Plaisancier
1;1;Q47;sable;cote;false;false;Plaisancier
1;1;P48;sable;cote;false;false;Plaisancier
1;1;R47;sable;cote;false;false;Plaisancier
1;1;Q48;sable;cote;false;false;Plaisancier
1;1;S47;sable;cote;false;false;Plaisancier
1;1;V46;sable;cote;false;false;Plaisancier
1;1;V47;sable;cote;false;false;Plaisancier
2;1;L48;sable;cote;false;false;Plaisancier
2;1;K48;sable;cote;false;false;Plaisancier
2;1;O48;sable;cote;false;false;Plaisancier
2;1;N49;sable;cote;false;false;Plaisancier
2;1;M44;vase;plateau;false;false;FouDeBassan
2;1;N44;vase;plateau;false;false;NavireCommerce
2;1;O43;vase;plateau;false;false;Dauphin
2;1;K39;vase;plateau;false;false;NavireCommerce
2;1;Q39;vase;plateau;false;false;Dauphin
2;1;R46;vase;cote;false;false;Plaisancier
2;1;Q47;sable;cote;false;false;Plaisancier
2;1;P47;sable;cote;false;false;Plaisancier
2;1;R47;sable;cote;false;false;Plaisancier
2;1;Q48;sable;cote;false;false;Plaisancier
2;1;P48;sable;cote;false;false;Plaisancier
2;2;M49;sable;cote;true;false;Plaisancier
2;2;N48;sable;cote;true;false;FouDeBassan
2;2;N48;sable;cote;true;false;Plaisancier
2;2;O49;sable;cote;true;false;Plaisancier
2;2;N47;vase;cote;true;false;FouDeBassan
2;2;O48;sable;cote;true;false;Plaisancier
2;2;L48;sable;cote;true;false;Plaisancier
2;2;M47;vase;cote;true;false;Dauphin
2;2;N46;vase;cote;true;false;FouDeBassan
2;2;O47;vase;cote;true;false;FouDeBassan
