joueurId(Number);tour(Number);carburant_consomme(Number);charges_carburant(Number);charges_salaire(Number);charges_autres(Number);charges_taxe(Number);produit(Number)
nil;1;298.8;134;66150;29400;14700;147000
nil;1;2539.8;1143;50346;22376;11188;111879
1;2;1419.3;639;57434;25526;12763;127631
2;2;1842.6;829;56984;25326;12663;126630
1;3;298.8;134;86585;38482;19241;192410
2;3;2141.4;964;59270;26342;13171;131712
1;4;1344.6;605;74687;33194;16597;165970
2;4;3436.2;1546;51944;23086;11543;115432
1;5;323.7;146;73580;32702;16351;163512
2;5;1792.8;807;54778;24346;12173;121728
