joueurId(Number);tour(Number);caseId(String);natureFond(String);estEnregistre(Boolean);estMemorise(Boolean);dicoEspeceQt(nil)
2;1;H16;sable;true;true;Dictionary (#Merlu->2.0 #Seiche->0.1 #Sole->0.5 )
1;1;J48;rocher;true;false;Dictionary (#Merlu->2.0 #Bar->2.1 )
2;1;Y23;vase;false;true;Dictionary (#Bar->1.0 #Merlu->2.0 #Seiche->0.4 #Sole->1.7 )
2;1;X22;vase;true;true;Dictionary (#Merlu->2.0 #Seiche->0.4 #Sole->1.7 )
1;1;J48;rocher;true;false;Dictionary (#Merlu->2.0 #Bar->1.9 )
1;1;J48;rocher;true;false;Dictionary (#Merlu->2.0 #Bar->1.8 )
2;2;X24;vase;true;false;Dictionary (#Bar->0.9 #Merlu->2.0 #Seiche->0.4 #Sole->2.3 )
2;2;W25;vase;true;false;Dictionary (#Bar->1.5 #Merlu->2.0 #Seiche->0.2 #Sole->1.8 )
2;2;W24;vase;true;false;Dictionary (#Bar->0.4 #Merlu->0.6 #Seiche->0.1 #Sole->0.7 )
1;2;Q32;vase;true;false;Dictionary (#Merlu->1.0 #Seiche->0.2 #Sole->1.7 )
1;2;R26;vase;true;true;Dictionary (#Bar->1.4 #Merlu->2.0 #Seiche->0.4 #Sole->2.1 )
1;2;R26;vase;true;false;Dictionary (#Bar->0.9 #Merlu->1.5 #Seiche->0.3 #Sole->1.5 )
2;3;W23;vase;true;false;Dictionary (#Bar->0.8 #Merlu->1.1 #Seiche->0.4 #Sole->1.6 )
2;3;U27;rocher;true;false;Dictionary (#Merlu->1.1 #Bar->1.4 )
1;3;K46;vase;false;true;Dictionary (#Bar->1.3 #Merlu->1.1 #Seiche->0.3 #Sole->1.5 )
1;3;K46;vase;false;false;Dictionary (#Bar->1.3 #Merlu->1.1 #Seiche->0.3 #Sole->1.5 )
2;3;F45;rocher;false;false;Dictionary (#Merlu->1.1 #Bar->1.4 )
1;3;K46;vase;false;false;Dictionary (#Bar->1.2 #Merlu->1.1 #Seiche->0.3 #Sole->1.5 )
2;4;Y2;vase;false;false;Dictionary (#Merlu->1.1 #Seiche->0.4 #Sole->2.1 )
2;4;X26;vase;false;false;Dictionary (#Bar->1.1 #Merlu->1.1 #Seiche->0.2 #Sole->1.6 )
2;4;C45;rocher;true;false;Dictionary (#Merlu->0.5 )
1;4;R28;vase;false;false;Dictionary (#Bar->1.0 #Merlu->0.5 #Seiche->0.2 #Sole->1.6 )
1;4;R28;vase;false;false;Dictionary (#Bar->1.0 #Merlu->0.5 #Seiche->0.2 #Sole->1.6 )
1;4;R28;vase;false;false;Dictionary (#Bar->0.9 #Merlu->0.5 #Seiche->0.2 #Sole->1.5 )
1;5;K47;vase;false;true;Dictionary (#Bar->1.1 #Merlu->1.9 #Seiche->0.3 #Sole->1.5 )
1;5;K47;vase;false;false;Dictionary (#Bar->1.1 #Merlu->1.9 #Seiche->0.3 #Sole->1.5 )
2;5;W27;rocher;false;false;Dictionary (#Merlu->1.9 #Bar->1.1 )
2;5;L36;sable;true;false;Dictionary (#Merlu->1.9 #Seiche->0.3 #Sole->1.4 )
1;5;J48;rocher;false;false;Dictionary (#Merlu->0.3 #Bar->0.1 )
2;5;I47;rocher;false;false;Dictionary (#Merlu->1.9 #Bar->1.0 )
