joueurId(Number);tour(Number);caseId(String);natureFond(String);bathymetrie(String);estEnregistre(Boolean);estMemorise(Boolean);type(Symbol)
2;1;M49;sable;cote;false;true;Plaisancier
2;1;L49;sable;cote;false;true;Plaisancier
2;1;N49;sable;cote;false;true;NavireCommerce
2;1;M48;sable;cote;false;true;FouDeBassan
2;1;M45;vase;cote;false;true;NavireCommerce
2;1;M44;vase;plateau;false;true;NavireCommerce
2;1;N44;vase;plateau;false;true;NavireCommerce
2;1;K36;sable;plateau;false;true;Dauphin
2;1;I23;vase;plateau;false;true;Dauphin
1;1;M49;sable;cote;true;false;Plaisancier
1;1;M48;sable;cote;true;false;FouDeBassan
1;1;N49;sable;cote;true;false;NavireCommerce
1;1;L49;sable;cote;true;false;Plaisancier
1;1;J48;rocher;cote;true;false;Plaisancier
1;1;I48;rocher;cote;true;false;Plaisancier
1;1;J47;rocher;cote;true;false;Plaisancier
1;1;H48;rocher;cote;true;false;Plaisancier
2;1;S17;vase;plateau;false;true;NavireEspagnol
2;1;V18;vase;plateau;false;true;FouDeBassan
2;1;Y22;vase;plateau;false;true;FouDeBassan
2;1;W23;vase;plateau;false;true;Tortue
2;1;W28;rocher;plateau;false;true;NavireEspagnol
2;1;Y30;rocher;plateau;false;true;FouDeBassan
2;1;X32;rocher;plateau;false;true;FouDeBassan
2;1;W36;vase;plateau;false;true;FouDeBassan
2;1;U38;vase;plateau;false;true;NavireEspagnol
2;1;T43;vase;cote;false;true;Plaisancier
2;1;R46;vase;cote;false;true;Plaisancier
2;1;S46;vase;cote;false;true;Plaisancier
2;1;R47;sable;cote;false;true;Plaisancier
2;1;Q47;sable;cote;false;true;FouDeBassan
2;1;Q47;sable;cote;false;true;Plaisancier
2;1;P47;sable;cote;false;true;Plaisancier
2;1;P48;sable;cote;false;true;Plaisancier
2;1;O49;sable;cote;false;true;NavireCommerce
2;2;N48;sable;cote;true;false;FouDeBassan
2;2;M49;sable;cote;true;false;Plaisancier
2;2;K48;sable;cote;true;false;Plaisancier
