joueurId(Number);tour(Number);texteCoordCase(String);natureFond(String);estEnregistre(Boolean);estMemorise(Boolean);dicoEspeceQt(nil)
1;1;41°39',10°44';vase;true;false;Dictionary (#Sole->0.4 #Seiche->2.1 #Merlu->3.5 )
1;1;41°25',10°56';vase;false;false;Dictionary (#Sole->0.4 #Seiche->2.0 #Merlu->3.3 )
2;1;40°59',10°26';vase;false;false;Dictionary (#Sole->1.7 #Seiche->0.4 #Merlu->1.8 )
2;1;41°48',10°17';rocher;false;false;Dictionary (#Bar->2.1 #Merlu->1.8 )
1;1;41°22',10°38';vase;false;false;Dictionary (#Sole->0.4 #Seiche->2.0 #Merlu->3.0 )
2;2;41°45',10°35';vase;false;false;Dictionary (#Sole->1.8 #Seiche->0.2 #Merlu->0.8 )
2;2;41°19',10°41';vase;false;false;Dictionary (#Sole->1.8 #Seiche->0.2 #Merlu->0.8 )
1;2;41°48',10°47';vase;false;false;Dictionary (#Sole->0.5 #Seiche->1.2 #Merlu->1.4 )
2;2;41°8',11°5';rocher;false;false;Dictionary (#Bar->1.8 #Merlu->0.8 )
1;2;41°22',11°41';vase;true;false;Dictionary (#Sole->0.6 #Seiche->2.3 #Merlu->2.6 )
1;2;40°50',12°29';vase;true;false;Dictionary (#Sole->0.6 #Seiche->2.2 #Merlu->2.5 )
1;3;41°39',10°41';vase;false;false;Dictionary (#Sole->0.4 #Seiche->1.9 #Merlu->3.3 )
1;3;41°28',10°41';vase;true;false;Dictionary (#Sole->0.4 #Seiche->1.9 #Merlu->3.1 )
2;3;41°51',10°41';vase;false;false;Dictionary (#Sole->1.6 #Seiche->0.3 #Merlu->1.7 )
2;3;41°10',10°44';vase;true;false;Dictionary (#Sole->1.6 #Bar->1.0 #Seiche->0.3 #Merlu->1.6 )
2;4;41°42',10°32';vase;true;false;Dictionary (#Sole->1.7 #Seiche->0.2 #Merlu->0.8 )
1;4;41°42',10°41';vase;false;false;Dictionary (#Sole->0.4 #Seiche->1.1 #Merlu->1.4 )
2;4;41°36',10°23';vase;true;false;Dictionary (#Sole->1.7 #Seiche->0.2 #Merlu->0.8 )
1;4;41°19',10°38';vase;true;false;Dictionary (#Sole->0.4 #Seiche->1.1 #Merlu->1.3 )
2;4;41°25',10°59';vase;true;false;Dictionary (#Sole->1.6 #Seiche->0.2 #Merlu->0.7 )
1;4;41°13',10°17';vase;true;false;Dictionary (#Sole->0.4 #Seiche->1.1 #Merlu->1.3 )
