joueurId(Number);tour(Number);texteCoordCase(String);natureFond(String);bathymetrie(String);estEnregistre(Boolean);estMemorise(Boolean);type(Symbol)
1;1;41°30',10°8';sable;cote;false;false;Plaisancier
1;1;41°25',10°8';sable;cote;false;false;Plaisancier
1;1;41°28',10°5';sable;cote;false;false;FouDeBassan
1;1;41°33',10°8';sable;cote;false;false;Plaisancier
1;1;41°33',10°8';sable;cote;false;false;NavireCommerce
1;1;41°25',10°11';vase;cote;false;false;Plaisancier
1;1;41°22',10°8';sable;cote;false;false;Plaisancier
1;1;41°25',10°5';sable;cote;false;false;Plaisancier
1;1;41°28',10°8';sable;cote;false;false;NavireCommerce
1;1;41°25',10°26';vase;plateau;false;false;NavireCommerce
1;1;41°36',10°23';vase;plateau;false;false;FouDeBassan
1;1;41°36',10°38';vase;plateau;false;false;NavireCommerce
2;1;41°28',10°5';sable;cote;false;false;FouDeBassan
2;1;41°25',10°8';sable;cote;false;false;Plaisancier
2;1;41°22',10°5';sable;cote;false;false;Plaisancier
2;1;41°28',10°8';sable;cote;false;false;NavireCommerce
2;1;41°25',10°11';vase;cote;false;false;Plaisancier
2;1;41°22',10°8';sable;cote;false;false;Plaisancier
2;1;41°25',10°5';sable;cote;false;false;Plaisancier
2;1;41°19',10°8';sable;cote;false;false;NavireCommerce
1;1;41°33',10°53';sable;plateau;false;false;FouDeBassan
2;1;41°13',10°17';vase;cote;false;false;Plaisancier
2;1;41°10',10°14';vase;cote;false;false;Plaisancier
1;1;41°25',10°53';sable;plateau;false;false;FouDeBassan
2;1;41°16',10°23';vase;plateau;false;false;FouDeBassan
1;1;41°22',10°59';vase;plateau;false;false;FouDeBassan
2;1;41°5',10°23';vase;cote;false;false;FouDeBassan
2;1;41°2',10°20';vase;cote;false;false;FouDeBassan
2;1;41°8',10°14';sable;cote;false;false;Plaisancier
2;1;41°5',10°26';vase;plateau;false;false;FouDeBassan
2;1;41°2',10°23';vase;cote;false;false;Plaisancier
2;1;41°2',10°14';sable;cote;false;false;Plaisancier
2;1;41°16',10°32';vase;plateau;false;false;FouDeBassan
2;1;41°25',10°26';vase;plateau;false;false;NavireCommerce
2;1;41°36',10°23';vase;plateau;false;false;FouDeBassan
2;1;41°45',10°14';rocher;cote;false;false;Dauphin
2;1;41°48',10°11';rocher;cote;false;false;Plaisancier
2;1;41°45',10°11';rocher;cote;false;false;Plaisancier
2;1;41°39',10°11';rocher;cote;false;false;Plaisancier
2;1;41°33',10°8';sable;cote;false;false;Plaisancier
2;1;41°33',10°8';sable;cote;false;false;NavireCommerce
2;1;41°30',10°8';sable;cote;false;false;Plaisancier
2;1;41°33',10°5';sable;cote;false;false;Plaisancier
1;1;41°25',10°41';vase;plateau;false;false;NavireCommerce
1;1;41°16',10°32';vase;plateau;false;false;FouDeBassan
1;1;41°16',10°23';vase;plateau;false;false;FouDeBassan
1;1;41°19',10°8';sable;cote;false;false;NavireCommerce
1;1;41°22',10°5';sable;cote;false;false;Plaisancier
2;2;41°25',10°8';sable;cote;false;false;Plaisancier
2;2;41°28',10°5';sable;cote;false;false;Plaisancier
2;2;41°30',10°11';vase;cote;false;false;NavireCommerce
2;2;41°25',10°11';vase;cote;false;false;Plaisancier
2;2;41°36',10°8';rocher;cote;false;false;Plaisancier
2;2;41°36',10°17';rocher;cote;false;false;Plaisancier
2;2;41°28',10°20';vase;plateau;false;false;FouDeBassan
2;2;41°36',10°23';vase;plateau;false;false;NavireCommerce
1;2;41°25',10°8';sable;cote;false;false;Plaisancier
1;2;41°28',10°5';sable;cote;false;false;Plaisancier
1;2;41°30',10°11';vase;cote;false;false;NavireCommerce
1;2;41°25',10°11';vase;cote;false;false;Plaisancier
1;2;41°22',10°11';vase;cote;false;false;NavireCommerce
1;2;41°28',10°20';vase;plateau;false;false;FouDeBassan
2;2;41°42',10°23';rocher;plateau;false;false;Dauphin
1;2;41°36',10°23';vase;plateau;false;false;NavireCommerce
2;2;41°36',10°35';vase;plateau;false;false;Plaisancier
2;2;41°36',10°35';vase;plateau;false;false;FouDeBassan
1;2;41°36',10°35';vase;plateau;false;false;Plaisancier
1;2;41°36',10°35';vase;plateau;false;false;FouDeBassan
1;2;41°33',10°41';vase;plateau;false;false;FouDeBassan
2;2;41°33',10°41';vase;plateau;false;false;FouDeBassan
2;2;41°25',10°35';vase;plateau;false;false;FouDeBassan
1;2;41°36',10°44';vase;plateau;false;false;FouDeBassan
1;2;41°39',10°44';vase;plateau;false;false;NavireCommerce
2;2;41°22',10°38';vase;plateau;false;false;NavireCommerce
1;2;41°33',10°47';sable;plateau;false;false;Dauphin
1;2;41°45',10°53';sable;plateau;false;false;FouDeBassan
2;2;41°10',10°50';vase;plateau;false;false;NavireEspagnol
2;2;41°22',10°53';vase;plateau;false;false;FouDeBassan
1;2;41°42',11°5';vase;plateau;false;false;NavireCommerce
1;2;41°51',11°11';vase;plateau;false;false;FouDeBassan
1;2;41°42',11°8';vase;plateau;false;false;FouDeBassan
1;2;41°45',11°20';vase;plateau;false;false;FouDeBassan
1;2;41°42',11°17';vase;plateau;false;false;FouDeBassan
