joueurId(Number);tour(Number);texteCoordCase(String);natureFond(String);estEnregistre(Boolean);estMemorise(Boolean);dicoEspeceQt(nil)
1;1;41°45',10°23';rocher;false;false;Dictionary (#Bar->2.1 #Merlu->2.0 )
1;1;41°33',10°26';vase;false;false;Dictionary (#Sole->1.7 #Bar->0.9 #Seiche->0.4 #Merlu->2.0 )
1;1;41°19',10°17';vase;false;false;Dictionary (#Sole->1.6 #Seiche->0.3 #Merlu->2.0 )
1;2;41°33',10°17';vase;false;false;Dictionary (#Sole->1.8 #Seiche->0.2 #Merlu->1.0 )
1;2;41°19',10°29';vase;false;false;Dictionary (#Sole->1.7 #Seiche->0.2 #Merlu->1.0 )
1;2;41°10',10°11';sable;false;false;Dictionary (#Sole->1.7 #Seiche->0.2 #Merlu->1.0 )
1;3;41°30',10°8';sable;false;false;Dictionary (#Sole->1.6 #Bar->1.8 #Seiche->0.4 #Merlu->1.1 )
1;3;41°22',10°11';vase;false;false;Dictionary (#Sole->1.5 #Seiche->0.3 #Merlu->1.1 )
1;4;41°33',10°8';sable;false;false;Dictionary (#Sole->1.7 #Seiche->0.2 #Merlu->0.5 )
1;4;41°25',10°8';sable;false;false;Dictionary (#Sole->1.6 #Seiche->0.2 #Merlu->0.5 )
1;5;41°30',10°8';sable;false;false;Dictionary (#Sole->1.5 #Bar->1.8 #Seiche->0.4 #Merlu->1.9 )
1;5;41°22',10°8';sable;false;false;Dictionary (#Sole->1.5 #Seiche->0.3 #Merlu->1.9 )
1;6;41°30',10°5';sable;false;false;Dictionary (#Sole->1.6 #Seiche->0.2 #Merlu->0.9 )
1;6;41°22',10°5';sable;false;false;Dictionary (#Sole->1.5 #Seiche->0.2 #Merlu->0.9 )
1;6;41°19',10°14';vase;false;false;Dictionary (#Sole->1.5 #Seiche->0.2 #Merlu->0.9 )
1;7;41°33',10°8';sable;false;false;Dictionary (#Sole->1.4 #Bar->1.7 #Seiche->0.3 #Merlu->1.3 )
1;7;41°25',10°8';sable;false;false;Dictionary (#Sole->1.4 #Bar->0.9 #Seiche->0.3 #Merlu->1.3 )
1;8;41°30',10°17';vase;false;false;Dictionary (#Sole->1.5 #Seiche->0.2 #Merlu->0.6 )
