joueurId(Number);tour(Number);texteCoordCase(String);natureFond(String);bathymetrie(String);estEnregistre(Boolean);estMemorise(Boolean);type(Symbol)
1;1;41°33',10°5';sable;cote;true;false;Plaisancier
1;1;41°30',10°8';sable;cote;true;false;Plaisancier
1;1;41°28',10°5';sable;cote;true;false;Plaisancier
1;1;41°25',10°5';sable;cote;true;false;Plaisancier
1;1;41°30',10°5';sable;cote;true;false;Plaisancier
1;1;41°36',10°8';rocher;cote;true;false;Plaisancier
1;1;41°36',10°8';rocher;cote;true;false;NavireCommerce
1;1;41°42',10°8';rocher;cote;true;false;Plaisancier
1;1;41°39',10°11';rocher;cote;true;false;Plaisancier
1;1;41°45',10°11';rocher;cote;true;false;Plaisancier
1;1;41°45',10°11';rocher;cote;true;false;FouDeBassan
1;1;41°48',10°11';rocher;cote;true;false;Plaisancier
1;1;41°48',10°20';rocher;cote;true;false;Plaisancier
2;1;41°30',10°8';sable;cote;true;false;Plaisancier
2;1;41°28',10°5';sable;cote;true;false;Plaisancier
2;1;41°30',10°5';sable;cote;true;false;Plaisancier
2;1;41°25',10°5';sable;cote;true;false;Plaisancier
2;1;41°25',10°14';vase;cote;true;false;Plaisancier
2;1;41°30',10°17';vase;cote;true;false;NavireCommerce
2;1;41°33',10°20';vase;plateau;true;false;NavireCommerce
2;1;41°30',10°35';vase;plateau;true;false;FouDeBassan
2;1;41°33',10°41';vase;plateau;true;false;NavireCommerce
2;1;41°30',10°50';sable;plateau;true;false;FouDeBassan
2;1;41°25',11°23';vase;plateau;true;false;Dauphin
2;1;41°22',11°29';vase;plateau;true;false;Dauphin
2;1;41°19',11°35';vase;plateau;true;false;FouDeBassan
2;1;41°8',11°53';vase;plateau;true;false;NavireEspagnol
2;1;41°5',11°59';vase;plateau;true;false;Dauphin
3;1;41°30',10°8';sable;cote;true;true;Plaisancier
3;1;41°28',10°5';sable;cote;true;true;Plaisancier
3;1;41°30',10°5';sable;cote;true;true;Plaisancier
3;1;41°25',10°5';sable;cote;true;true;Plaisancier
3;1;41°25',10°14';vase;cote;true;true;Plaisancier
3;1;41°30',10°17';vase;cote;true;true;NavireCommerce
3;1;41°33',10°20';vase;plateau;true;true;NavireCommerce
2;1;41°10',12°2';vase;plateau;true;false;Plaisancier
2;1;41°13',12°2';vase;plateau;true;false;Dauphin
3;1;41°30',10°35';vase;plateau;true;true;FouDeBassan
3;1;41°33',10°41';vase;plateau;true;true;NavireCommerce
3;1;41°30',10°50';sable;plateau;true;true;FouDeBassan
3;1;41°25',11°23';vase;plateau;true;true;Dauphin
3;1;41°22',11°29';vase;plateau;true;true;Dauphin
3;1;41°30',11°47';sable;plateau;true;true;Tortue
