joueurId(Number);tour(Number);texteCoordCase(String);natureFond(String);estEnregistre(Boolean);estMemorise(Boolean);dicoEspeceQt(nil)
2;1;40°53',10°17';vase;true;false;Dictionary (#Seiche->0.6 #Sole->0.2 #Merlu->1.2 )
2;1;41°10',10°17';vase;true;false;Dictionary (#Seiche->0.6 #Sole->0.2 #Merlu->1.2 )
1;1;41°33',10°47';sable;true;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->3.4 )
2;1;41°36',10°14';rocher;false;true;Dictionary (#Merlu->1.2 #Bar->0.1 )
1;1;41°42',11°32';vase;true;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->3.3 )
1;1;41°10',10°41';vase;true;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->3.1 )
2;2;41°39',10°11';rocher;true;false;Dictionary (#Merlu->0.5 )
1;2;40°56',12°17';sable;true;false;Dictionary (#Seiche->0.1 #Sole->0.3 #Merlu->3.0 )
2;2;41°33',10°8';sable;true;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
1;2;41°33',10°47';sable;true;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->1.4 )
2;2;41°28',10°8';sable;true;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
1;2;40°59',10°26';vase;true;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->1.4 )
2;3;42°3',10°17';rocher;true;false;Dictionary (#Merlu->1.1 #Bar->0.1 )
1;3;40°50',10°53';vase;true;false;Dictionary (#Seiche->0 #Sole->0.2 #Bar->1.9 #Merlu->3.0 )
1;3;40°50',10°53';vase;true;false;Dictionary (#Seiche->0 #Sole->0.2 #Bar->1.8 #Merlu->2.9 )
2;3;41°54',10°8';rocher;true;false;Dictionary (#Merlu->1.0 #Bar->0.1 )
1;3;40°56',10°53';vase;true;false;Dictionary (#Seiche->0 #Sole->0.2 #Bar->1.6 #Merlu->2.7 )
2;3;41°39',10°17';rocher;true;false;Dictionary (#Merlu->0.9 #Bar->0.1 )
2;4;41°19',10°14';vase;true;false;Dictionary (#Seiche->0.4 #Sole->0.2 #Merlu->0.5 )
2;4;41°25',10°8';sable;true;false;Dictionary (#Seiche->0.4 #Sole->0.2 #Merlu->0.5 )
1;4;41°10',10°53';vase;true;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->1.3 )
2;4;41°28',10°8';sable;true;false;Dictionary (#Seiche->0.4 #Sole->0.2 #Merlu->0.4 )
1;4;41°30',10°50';sable;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->1.3 )
1;4;40°53',10°29';vase;true;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->1.2 )
2;5;41°54',10°17';rocher;true;false;Dictionary (#Merlu->1.2 #Bar->0.1 )
1;5;40°50',10°53';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Bar->1.7 #Merlu->3.2 )
1;5;40°50',10°53';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Bar->1.5 #Merlu->3.1 )
